ccode,country,cname,cmark,year,wars,war,warl,onset,ethonset,durest,aim,casename,ended,ethwar,waryrs,pop,lpop,polity2,gdpen,gdptype,gdpenl,lgdpenl1,lpopl1,region,western,eeurop,lamerica,ssafrica,asia,nafrme,colbrit,colfra,mtnest,lmtnest,elevdiff,Oil,ncontig,ethfrac,ef,plural,second,numlang,relfrac,plurrel,minrelpc,muslim,nwstate,polity2l,instab,anocl,deml,empethfrac,empwarl,emponset,empgdpenl,emplpopl,emplmtnest,empncontig,empolity2l,sdwars,sdonset,colwars,colonset,cowwars,cowonset,cowwarl,sdwarl,colwarl
2,"USA","USA",1,1945,0,0,0,0,0,,,"",,,"",140969,11.8563,10,7.626,3,7.626,8.939319,11.8563,"western democracies and japan",1,0,0,0,0,0,1,0,23.9,3.214868,6280,0,1,.3569501,.490957,.691,.125,3,.596,56,28,1.9,0,10,0,0,1,.4936721,0,0,6.79718,11.97919,3.211572,1,7.68712,0,0,,,0,0,0,0,
2,"USA","USA",0,1946,0,0,0,0,0,,,"",,,"",141936,11.86313,10,7.654,3,7.626,8.939319,11.8563,"western democracies and japan",1,0,0,0,0,0,1,0,23.9,3.214868,6280,0,1,.3569501,.490957,.691,.125,3,.596,56,28,1.9,0,10,0,0,1,.3569501,0,0,6.79718,11.97919,3.214868,1,10,0,0,,,0,0,0,0,
2,"USA","USA",0,1947,0,0,0,0,0,,,"",,,"",142713,11.86859,10,8.025,3,7.654,8.942984,11.86313,"western democracies and japan",1,0,0,0,0,0,1,0,23.9,3.214868,6280,0,1,.3569501,.490957,.691,.125,3,.596,56,28,1.9,0,10,0,0,1,.3569501,0,0,7.654,11.86313,3.214868,1,10,0,0,,,0,0,0,0,
2,"USA","USA",0,1948,0,0,0,0,0,,,"",,,"",145326,11.88673,10,8.27,3,8.025,8.990317,11.86859,"western democracies and japan",1,0,0,0,0,0,1,0,23.9,3.214868,6280,0,1,.3569501,.490957,.691,.125,3,.596,56,28,1.9,0,10,0,0,1,.3569501,0,0,8.025,11.86859,3.214868,1,10,0,0,,,0,0,0,0,
2,"USA","USA",0,1949,0,0,0,0,0,,,"",,,"",147987,11.90488,10,8.04,3,8.27,9.02039,11.88673,"western democracies and japan",1,0,0,0,0,0,1,0,23.9,3.214868,6280,0,1,.3569501,.490957,.691,.125,3,.596,56,28,1.9,0,10,0,0,1,.3569501,0,0,8.27,11.88673,3.214868,1,10,0,0,,,0,0,0,0,
2,"USA","USA",0,1950,0,0,0,0,0,,,"",,,"",152273,11.93343,10,8.772,0,8.04,8.992185,11.90488,"western democracies and japan",1,0,0,0,0,0,1,0,23.9,3.214868,6280,0,1,.3569501,.490957,.691,.125,3,.596,56,28,1.9,0,10,0,0,1,.3569501,0,0,8.04,11.90488,3.214868,1,10,0,0,,,0,0,0,0,
2,"USA","USA",0,1951,0,0,0,0,0,,,"",,,"",155000,11.95118,10,9.109,0,8.772,9.07932,11.93343,"western democracies and japan",1,0,0,0,0,0,1,0,23.9,3.214868,6280,0,1,.3569501,.490957,.691,.125,3,.596,56,28,1.9,0,10,0,0,1,.3569501,0,0,8.772,11.93343,3.214868,1,10,0,0,,,0,0,0,0,
2,"USA","USA",0,1952,0,0,0,0,0,,,"",,,"",157727,11.96862,10,9.074,0,9.109,9.117018,11.95118,"western democracies and japan",1,0,0,0,0,0,1,0,23.9,3.214868,6280,0,1,.3569501,.490957,.691,.125,3,.596,56,28,1.9,0,10,0,0,1,.3569501,0,0,9.109,11.95118,3.214868,1,10,0,0,,,0,0,0,0,
2,"USA","USA",0,1953,0,0,0,0,0,,,"",,,"",160475,11.98589,10,9.3,0,9.074,9.113169,11.96862,"western democracies and japan",1,0,0,0,0,0,1,0,23.9,3.214868,6280,0,1,.3569501,.490957,.691,.125,3,.596,56,28,1.9,0,10,0,0,1,.3569501,0,0,9.074,11.96862,3.214868,1,10,0,0,,,0,0,0,0,
2,"USA","USA",0,1954,0,0,0,0,0,,,"",,,"",163202,12.00274,10,9.089,0,9.3,9.13777,11.98589,"western democracies and japan",1,0,0,0,0,0,1,0,23.9,3.214868,6280,0,1,.3569501,.490957,.691,.125,3,.596,56,28,1.9,0,10,0,0,1,.3569501,0,0,9.3,11.98589,3.214868,1,10,0,0,,,0,0,0,0,
2,"USA","USA",0,1955,0,0,0,0,0,,,"",,,"",165929,12.01932,10,9.723,0,9.089,9.11482,12.00274,"western democracies and japan",1,0,0,0,0,0,1,0,23.9,3.214868,6280,0,1,.3569501,.490957,.691,.125,3,.596,56,28,1.9,0,10,0,0,1,.3569501,0,0,9.089,12.00274,3.214868,1,10,0,0,,,0,0,0,0,
2,"USA","USA",0,1956,0,0,0,0,0,,,"",,,"",168882,12.03696,10,9.712,0,9.723,9.182249,12.01932,"western democracies and japan",1,0,0,0,0,0,1,0,23.9,3.214868,6280,0,1,.3569501,.490957,.691,.125,3,.596,56,28,1.9,0,10,0,0,1,.3569501,0,0,9.723,12.01932,3.214868,1,10,0,0,,,0,0,0,0,
2,"USA","USA",0,1957,0,0,0,0,0,,,"",,,"",171835,12.05429,10,9.643,0,9.712,9.181117,12.03696,"western democracies and japan",1,0,0,0,0,0,1,0,23.9,3.214868,6280,0,1,.3569501,.490957,.691,.125,3,.596,56,28,1.9,0,10,0,0,1,.3569501,0,0,9.712,12.03696,3.214868,1,10,0,0,,,0,0,0,0,
2,"USA","USA",0,1958,0,0,0,0,0,,,"",,,"",174767,12.07121,10,9.37,0,9.643,9.173987,12.05429,"western democracies and japan",1,0,0,0,0,0,1,0,23.9,3.214868,6280,0,1,.3569501,.490957,.691,.125,3,.596,56,28,1.9,0,10,0,0,1,.3569501,0,0,9.643,12.05429,3.214868,1,10,0,0,,,0,0,0,0,
2,"USA","USA",0,1959,0,0,0,0,0,,,"",,,"",177720,12.08797,10,9.839,0,9.37,9.145268,12.07121,"western democracies and japan",1,0,0,0,0,0,1,0,23.9,3.214868,6280,0,1,.3569501,.490957,.691,.125,3,.596,56,28,1.9,0,10,0,0,1,.3569501,0,0,9.37,12.07121,3.214868,1,10,0,0,,,0,0,0,0,
2,"USA","USA",0,1960,0,0,0,0,0,,,"",,,"",180673,12.10444,10,9.895,0,9.839,9.194109,12.08797,"western democracies and japan",1,0,0,0,0,0,1,0,23.9,3.214868,6280,0,1,.3569501,.490957,.691,.125,3,.596,56,28,1.9,0,10,0,0,1,.3569501,0,0,9.839,12.08797,3.214868,1,10,0,0,0,0,0,0,0,0,0
